metric_id,sido,sigungu,O3_연간_최고농도,O3_경보발령일수,O3_봄_최고농도,O3_여름_최고농도,O3_가을_최고농도,O3_겨울_최고농도,score_발령일수,score_최고농도,pre_outlier_cleaned_value,score_100
ozone,강원,영동남부,0.1222,1,0.1222,0.0,0.0,0.0,100.0,97.79,0.1222,98.9
ozone,경기,남부권,0.1601,10,0.1254,0.1601,0.0,0.0,59.09,41.97,0.1601,50.53
ozone,경기,동부권,0.1508,16,0.145,0.1508,0.0,0.0,31.82,55.67,0.1508,43.74
ozone,경기,북부권,0.1655,17,0.1489,0.1655,0.0,0.0,27.27,34.02,0.1655,30.65
ozone,경기,중부권,0.176,23,0.1393,0.176,0.0,0.0,0.0,18.56,0.176,9.28
ozone,경남,김해시,0.124,1,0.0,0.124,0.0,0.0,100.0,95.14,0.124,97.57
ozone,경남,남해군,0.1226,1,0.1226,0.0,0.0,0.0,100.0,97.2,0.1226,98.6
ozone,경남,밀양시,0.1284,3,0.0,0.1284,0.0,0.0,90.91,88.66,0.1284,89.78
ozone,경남,사천시,0.1317,6,0.1276,0.1317,0.0,0.0,77.27,83.8,0.1317,80.54
ozone,경남,산청군,0.1227,1,0.0,0.1227,0.0,0.0,100.0,97.05,0.1227,98.52
ozone,경남,양산시,0.127,1,0.0,0.127,0.0,0.0,100.0,90.72,0.127,95.36
ozone,경남,진주시,0.1429,4,0.1227,0.1429,0.0,0.0,86.36,67.3,0.1429,76.83
ozone,경남,창녕군,0.1317,5,0.1317,0.1316,0.0,0.0,81.82,83.8,0.1317,82.81
ozone,경남,하동군,0.1395,6,0.1314,0.1395,0.0,0.0,77.27,72.31,0.1395,74.79
ozone,경남,합천군,0.1234,1,0.0,0.1234,0.0,0.0,100.0,96.02,0.1234,98.01
ozone,경북,경산시,0.1242,2,0.1242,0.0,0.0,0.0,95.45,94.85,0.1242,95.15
ozone,경북,경주시,0.1616,6,0.1274,0.1616,0.0,0.0,77.27,39.76,0.1616,58.52
ozone,경북,봉화군,0.1546,1,0.1546,0.0,0.0,0.0,100.0,50.07,0.1546,75.04
ozone,경북,영덕군,0.1515,2,0.1201,0.1515,0.0,0.0,95.45,54.64,0.1515,75.04
ozone,경북,울진군,0.1501,3,0.0,0.1501,0.0,0.0,90.91,56.7,0.1501,73.81
ozone,경북,의성군,0.129,3,0.0,0.129,0.0,0.0,90.91,87.78,0.129,89.34
ozone,경북,칠곡군,0.1266,1,0.0,0.1266,0.0,0.0,100.0,91.31,0.1266,95.66
ozone,경북,포항시,0.1481,2,0.1234,0.1481,0.0,0.0,95.45,59.65,0.1481,77.55
ozone,대구,대구권역,0.1399,6,0.1399,0.1348,0.0,0.0,77.27,71.72,0.1399,74.5
ozone,부산,남부,0.1831,7,0.0,0.1831,0.0,0.0,72.73,8.1,0.1831,40.42
ozone,부산,동부,0.1207,1,0.0,0.1207,0.0,0.0,100.0,100.0,0.1207,100.0
ozone,부산,서부,0.1334,5,0.0,0.1334,0.0,0.0,81.82,81.3,0.1334,81.56
ozone,부산,중부,0.1312,3,0.0,0.1312,0.0,0.0,90.91,84.54,0.1312,87.72
ozone,서울,서울권역,0.1634,16,0.1474,0.1634,0.0,0.0,31.82,37.11,0.1634,34.47
ozone,세종,세종권역,0.1338,1,0.0,0.1338,0.0,0.0,100.0,80.71,0.1338,90.35
ozone,울산,서부권,0.1707,9,0.0,0.1707,0.0,0.0,63.64,26.36,0.1707,45.0
ozone,울산,연안권,0.1886,7,0.0,0.1886,0.0,0.0,72.73,0.0,0.1886,36.36
ozone,울산,중북부권,0.1812,9,0.0,0.1812,0.0,0.0,63.64,10.9,0.1812,37.27
ozone,인천,강화권역,0.1456,1,0.0,0.1456,0.0,0.0,100.0,63.33,0.1456,81.66
ozone,인천,동남부권역,0.1688,17,0.1256,0.1688,0.1292,0.0,27.27,29.16,0.1688,28.22
ozone,인천,서부권역,0.1645,10,0.0,0.1645,0.123,0.0,59.09,35.49,0.1645,47.29
ozone,인천,영종·영흥권역,0.1581,11,0.0,0.1581,0.1388,0.0,54.55,44.92,0.1581,49.74
ozone,전남,고흥군,0.1286,1,0.0,0.1286,0.0,0.0,100.0,88.37,0.1286,94.18
ozone,전남,광양시,0.1695,12,0.1618,0.1695,0.0,0.0,50.0,28.13,0.1695,39.06
ozone,전남,목포시,0.1258,2,0.1258,0.0,0.0,0.0,95.45,92.49,0.1258,93.97
ozone,전남,보성군,0.1658,3,0.1658,0.1233,0.0,0.0,90.91,33.58,0.1658,62.24
ozone,전남,순천시,0.1848,16,0.1848,0.1536,0.0,0.0,31.82,5.6,0.1848,18.71
ozone,전남,여수시,0.1773,21,0.1624,0.1773,0.0,0.0,9.09,16.64,0.1773,12.86
ozone,전남,장흥군,0.1261,1,0.0,0.1261,0.0,0.0,100.0,92.05,0.1261,96.02
ozone,전북,군산시,0.13,2,0.1261,0.13,0.0,0.0,95.45,86.3,0.13,90.88
ozone,전북,익산시,0.1502,1,0.0,0.1502,0.0,0.0,100.0,56.55,0.1502,78.28
ozone,전북,전주시,0.1325,1,0.0,0.1325,0.0,0.0,100.0,82.62,0.1325,91.31
ozone,충남,당진시,0.1575,10,0.12,0.1575,0.0,0.0,59.09,45.8,0.1575,52.44
ozone,충남,보령시,0.1249,1,0.0,0.1249,0.0,0.0,100.0,93.81,0.1249,96.9
ozone,충남,서산시,0.1753,12,0.1632,0.1753,0.1261,0.0,50.0,19.59,0.1753,34.8
ozone,충남,서천군,0.1285,2,0.1285,0.1209,0.0,0.0,95.45,88.51,0.1285,91.98
ozone,충남,아산시,0.1569,8,0.1229,0.1569,0.0,0.0,68.18,46.69,0.1569,57.44
ozone,충남,예산군,0.1307,1,0.0,0.1307,0.0,0.0,100.0,85.27,0.1307,92.64
ozone,충남,천안시,0.1426,8,0.1256,0.1426,0.0,0.0,68.18,67.75,0.1426,67.96
ozone,충남,태안군,0.1494,5,0.0,0.1494,0.1248,0.0,81.82,57.73,0.1494,69.77
ozone,충북,청주시,0.1225,1,0.0,0.1225,0.0,0.0,100.0,97.35,0.1225,98.68
